Station, Fav, StationName, HydStatus, Prov, Latitude, Longitude, DrainageArea, Years, From, To, Reg., Flow, Level, Sed, OperSched, RealTime, RHBN, Region, Datum, Operator
05BJ004, False, ELBOW RIVER AT BRAGG CREEK, Active, AB, 50.94893, -114.571, 791, 82, 1934, 2015, False, True, True, True, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BJ010, False, ELBOW RIVER AT SARCEE BRIDGE, Active, AB, 50.99464, -114.1648, 1190, 36, 1979, 2015, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BK001, False, FISH CREEK NEAR PRIDDIS, Active, AB, 50.88547, -114.3268, 261, 69, 1908, 2015, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL012, False, SHEEP RIVER AT OKOTOKS, Active, AB, 50.72389, -113.9735, 1490, 27, 1908, 2015, False, True, True, True, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL013, False, THREEPOINT CREEK NEAR MILLARVILLE, Active, AB, 50.77113, -114.2787, 507, 57, 1909, 2015, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL014, False, SHEEP RIVER AT BLACK DIAMOND, Active, AB, 50.68855, -114.2449, 592, 56, 1909, 2015, False, True, True, True, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL019, False, HIGHWOOD RIVER AT DIEBEL'S RANCH, Active, AB, 50.40506, -114.5007, 774, 66, 1950, 2015, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL022, False, CATARACT CREEK NEAR FORESTRY ROAD, Active, AB, 50.28526, -114.5887, 166, 50, 1966, 2015, False, True, True, True, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL023, False, PEKISKO CREEK NEAR LONGVIEW, Active, AB, 50.47409, -114.2073, 232, 49, 1967, 2015, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BL027, False, TRAP CREEK NEAR LONGVIEW, Active, AB, 50.47732, -114.4263, 137, 38, 1979, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BM014, False, WEST ARROWWOOD CREEK NEAR ARROWWOOD, Active, AB, 50.76404, -113.2363, 777, 50, 1965, 2014, False, True, True, True, Seasonal, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05BM018, False, WEST ARROWWOOD CREEK NEAR ENSIGN, Active, AB, 50.51377, -113.3444, 29.5, 30, 1985, 2014, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CA002, False, JAMES RIVER NEAR SUNDRE, Active, AB, 51.92679, -114.6855, 821, 50, 1966, 2015, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CA004, False, RED DEER RIVER ABOVE PANTHER RIVER, Active, AB, 51.66051, -115.4106, 941, 50, 1967, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CA009, False, RED DEER RIVER BELOW BURNT TIMBER CREEK, Active, AB, 51.64625, -115.0192, 2250, 42, 1973, 2014, False, True, True, True, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CA011, False, BEARBERRY CREEK NEAR SUNDRE, Active, AB, 51.80208, -114.6631, 238, 39, 1977, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CA012, False, FALLENTIMBER CREEK NEAR SUNDRE, Active, AB, 51.73671, -114.6545, 489, 37, 1978, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CB001, False, LITTLE RED DEER RIVER NEAR THE MOUTH, Active, AB, 52.02824, -114.1403, 2580, 55, 1960, 2014, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CB002, False, LITTLE RED DEER RIVER NEAR WATER VALLEY, Active, AB, 51.51147, -114.671, 451, 56, 1961, 2016, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CB004, False, RAVEN RIVER NEAR RAVEN, Active, AB, 52.08928, -114.4775, 645, 44, 1971, 2014, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC001, False, BLINDMAN RIVER NEAR BLACKFALDS, Active, AB, 52.35402, -113.7947, 1800, 63, 1916, 2016, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC007, False, MEDICINE RIVER NEAR ECKVILLE, Active, AB, 52.31956, -114.3442, 1920, 55, 1962, 2016, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC008, False, BLINDMAN RIVER NEAR BLUFFTON, Active, AB, 52.7563, -114.2856, 353, 50, 1965, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC009, False, LLOYD CREEK NEAR BLUFFTON, Active, AB, 52.74038, -114.1468, 239, 50, 1965, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC010, False, BLOCK CREEK NEAR LEEDALE, Active, AB, 52.57374, -114.5777, 56.8, 39, 1976, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC011, False, WASKASOO CREEK AT RED DEER, Active, AB, 52.26849, -113.7999, 487, 33, 1984, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CC013, False, LASTHILL CREEK NEAR ECKVILLE, Active, AB, 52.36177, -114.4577, 802, 9, 2006, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CD004, False, RED DEER RIVER NEAR NEVIS, Active, AB, 52.3, -113.0667, 15100, 16, 1944, 2013, False, True, False, False, Continuous, False, False, CALGARY, , ALBERTA ENVIRONMENTAL PROTECTION
05CD006, False, HAYNES CREEK NEAR HAYNES, Active, AB, 52.33191, -113.363, 165, 39, 1978, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CD007, False, PARLBY CREEK AT ALIX, Active, AB, 52.40747, -113.1958, 511, 34, 1983, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE002, False, KNEEHILLS CREEK NEAR DRUMHELLER, Active, AB, 51.46946, -112.9783, 2430, 71, 1921, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE006, False, ROSEBUD RIVER BELOW CARSTAIRS CREEK, Active, AB, 51.41583, -113.7278, 753, 58, 1957, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE010, False, RAY CREEK NEAR INNISFAIL, Active, AB, 52.00117, -113.5997, 44.4, 43, 1967, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE011, False, RENWICK CREEK NEAR THREE HILLS, Active, AB, 51.71784, -113.3611, 58.9, 44, 1967, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE012, False, GHOSTPINE CREEK NEAR HUXLEY, Active, AB, 51.89591, -113.2411, 506, 6, 1967, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE018, False, THREEHILLS CREEK BELOW RAY CREEK, Active, AB, 51.99747, -113.5686, 199, 44, 1971, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CE020, False, MICHICHI CREEK AT DRUMHELLER, Active, AB, 51.47153, -112.717, 1170, 35, 1978, 2014, False, True, True, True, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CG004, False, BULLPOUND CREEK NEAR WATTS, Active, AB, 51.66211, -112.084, 200, 36, 1980, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CG006, False, FISH CREEK ABOVE LITTLE FISH LAKE, Active, AB, 51.3908, -112.2019, 118, 32, 1984, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CK001, False, BLOOD INDIAN CREEK NEAR THE MOUTH, Active, AB, 50.9583, -111.06, 699, 53, 1911, 2014, False, True, True, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05CK005, False, ALKALI CREEK NEAR THE MOUTH, Active, AB, 50.89896, -110.508, 590, 55, 1962, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DA007, False, MISTAYA RIVER NEAR SASKATCHEWAN CROSSING, Active, AB, 51.88427, -116.6892, 248, 65, 1950, 2014, False, True, True, False, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DA009, False, NORTH SASKATCHEWAN RIVER AT WHIRLPOOL POINT, Active, AB, 52.00119, -116.4709, 1920, 47, 1970, 2016, False, True, True, True, Continuous, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DA010, False, SILVERHORN CREEK NEAR THE MOUTH, Active, AB, 51.79992, -116.5839, 21, 46, 1971, 2016, False, True, True, False, Continuous, False, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DB002, False, PRAIRIE CREEK NEAR ROCKY MOUNTAIN HOUSE, Active, AB, 52.27386, -114.9292, 844, 69, 1922, 2015, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DB005, False, PRAIRIE CREEK BELOW LICK CREEK, Active, AB, 52.25457, -115.2879, 208, 44, 1973, 2016, False, True, True, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DB006, False, CLEARWATER RIVER NEAR DOVERCOURT, Active, AB, 52.2521, -114.8558, 2250, 42, 1975, 2016, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DC006, False, RAM RIVER NEAR THE MOUTH, Active, AB, 52.36859, -115.4222, 1850, 51, 1967, 2017, False, True, False, True, Continuous, True, False, CALGARY, ASSUMED DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05DC011, False, NORTH RAM RIVER AT FORESTRY ROAD, Active, AB, 52.28296, -115.9993, 347, 43, 1975, 2017, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DC012, False, BAPTISTE RIVER NEAR THE MOUTH, Active, AB, 52.66382, -115.0758, 1350, 34, 1984, 2017, False, True, False, False, Continuous, False, False, CALGARY, ASSUMED DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05DD004, False, BROWN CREEK AT FORESTRY ROAD, Active, AB, 52.76396, -116.3608, 219, 46, 1915, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DD007, False, BRAZEAU RIVER BELOW CARDINAL RIVER, Active, AB, 52.88158, -116.5563, 2600, 50, 1961, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DD009, False, NORDEGG RIVER AT SUNCHILD ROAD, Active, AB, 52.81997, -115.5203, 876, 45, 1971, 2015, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DE007, False, ROSE CREEK NEAR ALDER FLATS, Active, AB, 52.92991, -115.011, 559, 43, 1972, 2014, False, True, True, False, Seasonal, True, True, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DE009, False, TOMAHAWK CREEK NEAR TOMAHAWK, Active, AB, 53.40585, -114.7631, 94.2, 33, 1984, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DE010, False, NORTH SASKATCHEWAN RIVER AT HIGHWAY NO. 759, Active, AB, 53.31548, -114.758, 22100, 8, 2007, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DE911, False, MODESTE CREEK NEAR LINDALE, Active, AB, 53.24806, -114.7056, 657, 19, 1996, 2017, False, True, False, False, Seasonal, False, False, CALGARY, APPROXIMATE GEODETIC SURVEY OF CANADA DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05DF003, False, BLACKMUD CREEK NEAR ELLERSLIE, Active, AB, 53.41455, -113.5165, 643, 40, 1935, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DF004, False, STRAWBERRY CREEK NEAR THE MOUTH, Active, AB, 53.31149, -114.0521, 592, 49, 1966, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DF006, False, WHITEMUD CREEK NEAR ELLERSLIE, Active, AB, 53.41263, -113.5909, 330, 47, 1969, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DF007, False, WEST WHITEMUD CREEK NEAR IRETON, Active, AB, 53.22203, -113.6906, 65.4, 39, 1976, 2014, False, True, True, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DF008, False, WEED CREEK AT THORSBY, Active, AB, 53.23379, -114.0508, 200, 11, 2005, 2015, False, True, True, False, Seasonal, True, False, CALGARY, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05DF009, False, WHITEMUD CREEK AT EDMONTON, Active, AB, 53.48302, -113.5546, 1110, 3, 2013, 2015, False, True, True, False, Seasonal, True, False, CALGARY, , WATER SURVEY OF CANADA (DOE) (CANADA)
05EA001, False, STURGEON RIVER NEAR FORT SASKATCHEWAN, Active, AB, 53.83276, -113.2824, 3250, 97, 1914, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA002, False, STURGEON RIVER AT ST. ALBERT, Active, AB, 53.63583, -113.6272, 2610, 37, 1913, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA005, False, STURGEON RIVER NEAR VILLENEUVE, Active, AB, 53.65535, -113.7625, 1890, 52, 1914, 2014, False, True, True, False, Continuous, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA010, False, STURGEON RIVER NEAR MAGNOLIA BRIDGE, Active, AB, 53.59139, -114.8597, 121, 36, 1981, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA011, False, CARROT CREEK NEAR THE MOUTH, Active, AB, 53.62339, -113.6953, 97.1, 11, 2005, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA012, False, ATIM CREEK AT CENTURY ROAD, Active, AB, 53.59028, -113.8854, 288, 12, 2005, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EA013, False, KILINI CREEK AT TWP ROAD NO 543, Active, AB, 53.67213, -114.1355, 168, 4, 2013, 2016, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EB902, False, POINTE-AUX-PINS CREEK NEAR ARDROSSAN, Active, AB, 53.59944, -113.1636, 106, 39, 1979, 2017, False, True, False, False, Seasonal, False, False, CALGARY, APPROXIMATE GEODETIC SURVEY OF CANADA DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05EC002, False, WASKATENAU CREEK NEAR WASKATENAU, Active, AB, 54.12306, -112.7828, 313, 52, 1966, 2017, False, True, False, True, Seasonal, False, False, CALGARY, APPROXIMATE GEODETIC SURVEY OF CANADA DATUM, ALBERTA ENVIRONMENTAL PROTECTION
05EC005, False, REDWATER RIVER NEAR THE MOUTH, Active, AB, 53.8966, -112.996, 1600, 37, 1978, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05ED002, False, ATIMOSWE CREEK NEAR ELK POINT, Active, AB, 53.8888, -110.9211, 368, 41, 1975, 2015, False, True, True, False, Seasonal, False, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EE005, False, STRETTON CREEK NEAR MARWAYNE, Active, AB, 53.44246, -110.3257, 74, 38, 1978, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EE006, False, VERMILION RIVER TRIBUTARY NEAR BRUCE, Active, AB, 53.29409, -112.0499, 46.4, 37, 1978, 2014, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
05EE009, False, VERMILION RIVER AT VEGREVILLE, Active, AB, 53.49118, -112.0398, 1620, 29, 1987, 2015, False, True, True, False, Seasonal, True, False, CALGARY, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
